Iteration	Posterior	Likelihood	Prior	TreeLength	OmegaCount	K	R	Pi[0]	Pi[1]	Pi[2]	Pi[3]	Pi[4]	Pi[5]	Pi[6]	Pi[7]	Pi[8]	Pi[9]	Pi[10]	Pi[11]	Pi[12]	Pi[13]	Pi[14]	Pi[15]	Pi[16]	Pi[17]	Pi[18]	Pi[19]	Pi[20]	Pi[21]	Pi[22]	Pi[23]	Pi[24]	Pi[25]	Pi[26]	Pi[27]	Pi[28]	Pi[29]	Pi[30]	Pi[31]	Pi[32]	Pi[33]	Pi[34]	Pi[35]	Pi[36]	Pi[37]	Pi[38]	Pi[39]	Pi[40]	Pi[41]	Pi[42]	Pi[43]	Pi[44]	Pi[45]	Pi[46]	Pi[47]	Pi[48]	Pi[49]	Pi[50]	Pi[51]	Pi[52]	Pi[53]	Pi[54]	Pi[55]	Pi[56]	Pi[57]	Pi[58]	Pi[59]	Pi[60]
100	-6201.398263	-6841.338694	639.940431	35.543499	3.000000	1.642732	0.290570	0.011625	0.028936	0.037131	0.009657	0.006412	0.030418	0.003721	0.008928	0.005238	0.025347	0.010734	0.011388	0.002908	0.022267	0.016476	0.012915	0.008641	0.041881	0.026221	0.019280	0.011924	0.017387	0.004488	0.014953	0.002272	0.012721	0.001349	0.009920	0.002833	0.012333	0.043730	0.006810	0.013090	0.018196	0.022656	0.016729	0.015573	0.086862	0.010889	0.056578	0.011906	0.020857	0.004124	0.018194	0.002330	0.019880	0.027495	0.009528	0.015890	0.008659	0.014767	0.022941	0.003398	0.014658	0.018809	0.011288	0.008253	0.000091	0.021679	0.008529	0.015304
200	-6219.405447	-6872.558679	653.153232	32.601019	3.000000	1.208847	0.299021	0.013805	0.021606	0.037612	0.011384	0.009463	0.030812	0.003769	0.007974	0.005283	0.025675	0.006164	0.015481	0.002946	0.022555	0.020546	0.013082	0.008391	0.040905	0.017616	0.019530	0.005860	0.014341	0.005771	0.015147	0.001951	0.015098	0.001366	0.010415	0.002870	0.013440	0.039131	0.006898	0.013260	0.018432	0.018051	0.017089	0.016055	0.081120	0.011030	0.063074	0.008848	0.021127	0.005584	0.011194	0.002360	0.015274	0.033246	0.012490	0.015813	0.006666	0.014959	0.023001	0.002499	0.014848	0.019053	0.014966	0.012042	0.001426	0.038154	0.008778	0.012674
300	-6217.274090	-6855.505797	638.231707	33.209793	3.000000	1.652770	0.374851	0.011830	0.023672	0.039500	0.006687	0.008805	0.030685	0.003809	0.011397	0.005340	0.025952	0.006231	0.012239	0.002977	0.024277	0.015726	0.013127	0.008481	0.034605	0.017806	0.015160	0.009032	0.014495	0.005494	0.013985	0.001972	0.014378	0.001381	0.008108	0.002901	0.013585	0.047585	0.006973	0.018590	0.023408	0.021661	0.017810	0.008396	0.081996	0.013932	0.053380	0.008944	0.026396	0.008657	0.018609	0.002059	0.013599	0.030720	0.009733	0.015984	0.007917	0.014144	0.021757	0.002410	0.023196	0.017956	0.018754	0.012172	0.001441	0.026504	0.008873	0.012811
400	-6211.591435	-6843.216899	631.625464	32.066988	3.000000	1.403401	0.214020	0.015195	0.028820	0.045268	0.007803	0.005588	0.034510	0.000880	0.011224	0.007242	0.027115	0.006136	0.008274	0.002932	0.023908	0.015487	0.018686	0.008353	0.035256	0.017535	0.014930	0.008894	0.014275	0.005410	0.013772	0.005162	0.009402	0.002269	0.011879	0.003545	0.013379	0.048776	0.007469	0.019614	0.027940	0.021332	0.016744	0.008129	0.070822	0.013720	0.052569	0.015262	0.025995	0.008526	0.018326	0.002028	0.013393	0.030253	0.009170	0.008748	0.009285	0.009026	0.025530	0.002374	0.018013	0.017683	0.016656	0.014630	0.001071	0.022432	0.008738	0.012616
500	-6217.505479	-6835.826708	618.321230	31.950512	3.000000	1.395890	0.282905	0.018543	0.030061	0.044925	0.008505	0.009849	0.026743	0.003758	0.011325	0.007364	0.028479	0.007765	0.010855	0.001974	0.026248	0.015749	0.016718	0.008494	0.034830	0.014634	0.011971	0.009045	0.014517	0.006131	0.010238	0.005250	0.010368	0.002308	0.007040	0.003847	0.013605	0.050399	0.007596	0.020444	0.021787	0.021693	0.017028	0.010248	0.080890	0.013952	0.052635	0.015520	0.023811	0.008670	0.019858	0.002062	0.020721	0.028014	0.009013	0.010445	0.006714	0.009179	0.026444	0.002414	0.019523	0.013943	0.013583	0.011644	0.000854	0.019992	0.009173	0.010615
600	-6202.041085	-6857.084637	655.043552	37.071532	3.000000	1.695521	0.248355	0.013600	0.028637	0.046229	0.011099	0.004561	0.027519	0.003066	0.013399	0.005434	0.017750	0.010096	0.009468	0.002031	0.025364	0.016206	0.017203	0.008741	0.031425	0.021646	0.012318	0.006202	0.013567	0.006121	0.011135	0.003533	0.010642	0.002919	0.008271	0.002866	0.014000	0.051862	0.009221	0.015980	0.022488	0.026936	0.027671	0.010546	0.078139	0.010169	0.044607	0.010376	0.036227	0.004115	0.022313	0.002122	0.021323	0.028827	0.011153	0.010748	0.007057	0.009445	0.026666	0.001554	0.021470	0.014468	0.007180	0.008728	0.000879	0.032320	0.009439	0.010923
700	-6225.096391	-6856.178889	631.082498	34.413004	3.000000	1.687722	0.189535	0.019890	0.025007	0.041560	0.007318	0.005719	0.030786	0.002939	0.012846	0.007321	0.029293	0.009122	0.013776	0.001948	0.023943	0.014680	0.012568	0.010639	0.042049	0.023198	0.012330	0.005946	0.010801	0.005868	0.009621	0.001766	0.010203	0.002057	0.008315	0.003090	0.010844	0.037206	0.006095	0.015321	0.025686	0.019306	0.029955	0.010111	0.074914	0.009750	0.056359	0.014673	0.034732	0.007817	0.016256	0.002358	0.013397	0.027638	0.010693	0.012616	0.006824	0.009055	0.020748	0.003025	0.020584	0.020886	0.013047	0.009062	0.002497	0.030987	0.008561	0.014398
800	-6221.881037	-6848.758758	626.877721	31.768009	3.000000	1.295355	0.230151	0.019048	0.022378	0.039801	0.006931	0.005477	0.043966	0.003071	0.015073	0.007011	0.023555	0.007586	0.017114	0.001865	0.028236	0.014193	0.012643	0.011816	0.039349	0.014674	0.013009	0.007729	0.018021	0.004313	0.009234	0.001097	0.007254	0.001970	0.007963	0.002531	0.010385	0.035631	0.005837	0.015548	0.024598	0.021447	0.028687	0.014085	0.071743	0.010608	0.053973	0.010460	0.033262	0.007572	0.017280	0.002258	0.019460	0.029709	0.010240	0.012082	0.009540	0.008672	0.029417	0.004484	0.013239	0.014547	0.012494	0.007803	0.003262	0.031624	0.009358	0.013788
900	-6229.633691	-6856.038502	626.404810	33.234311	3.000000	1.392524	0.246054	0.019597	0.023023	0.040949	0.007980	0.007217	0.047179	0.003159	0.013310	0.006167	0.031763	0.005200	0.013377	0.002170	0.027046	0.014602	0.011597	0.006612	0.036410	0.018972	0.013614	0.009123	0.015748	0.005138	0.010932	0.001128	0.011394	0.001081	0.007976	0.002604	0.012446	0.036533	0.009805	0.011836	0.022959	0.020143	0.029514	0.009317	0.073812	0.010914	0.055530	0.016383	0.034221	0.006599	0.017778	0.002006	0.015835	0.030566	0.010536	0.012430	0.010418	0.010122	0.025015	0.003313	0.013040	0.016116	0.009026	0.007413	0.002835	0.024657	0.009628	0.014186
1000	-6217.017207	-6850.297620	633.280413	33.048302	3.000000	1.387434	0.218400	0.015140	0.022611	0.040215	0.009781	0.013901	0.042077	0.004812	0.013071	0.006057	0.035016	0.009909	0.013137	0.002131	0.020298	0.014340	0.016233	0.006494	0.035758	0.018632	0.013807	0.009542	0.015466	0.004719	0.010736	0.001108	0.011190	0.001061	0.009335	0.002557	0.012223	0.035879	0.006614	0.018735	0.029033	0.019782	0.018774	0.009150	0.072490	0.010719	0.059984	0.014251	0.033608	0.006481	0.017460	0.001715	0.014533	0.020797	0.010347	0.012092	0.009843	0.011403	0.026186	0.002793	0.016483	0.012000	0.008864	0.009000	0.002784	0.030821	0.009456	0.016565
